revision	construction	test_type	accuracy	delta_surps	delta_surps_and	delta_accuracy	delta_accuracy_zscale
step4	much less	NPI	0.6999435984207558	-0.2033126167301665	-0.2589991295734369	0.036097010716300115	0.06126979811993276
step4	much less	Pseudocleft	0.155668358714044	-0.0096234457679743	0.119864592361235	-0.002820078962210898	-0.15018718820532356
step4	much less	CP Conjunction	0.4314720812182741	0.2359452653724597	0.2501976031471764	-0.11393119007332209	-0.7539122071339541
step4	much less	VP Conjunction	0.757473209249859	0.0706973680989997	-0.0035215298200285	-0.01974055273547659	-0.2421250083467395
step4	much less	VP Gap Conjunction	0.9091934574168076	0.1828925858361534	0.0708452516266402	-0.011844331641286066	-0.1992206922807461
step4	much less	Avg_Test	0.429028012784358	0.0076697342914395	0.0370210219783248	-0.026884752773077614	-0.2809431990731149
step4	much less	Avg_Control	0.8333333333333333	0.1267949769675765	0.0336618609033058	-0.015792442188381273	-0.2206728503137425
step4	not to mention	NPI	0.7631133671742809	-0.1971060322020864	-0.2589991295734369	0.030456852791878153	0.03062385807279375
step4	not to mention	Pseudocleft	0.5329949238578681	0.1478578849357867	0.119864592361235	0.00451212633953757	-0.11034746614404328
step4	not to mention	CP Conjunction	0.1201353637901861	0.137246850514506	0.2501976031471764	-0.042865200225606304	-0.36777336254000764
step4	not to mention	VP Conjunction	0.4032712915961647	-0.0225237159492333	-0.0035215298200285	-0.027072758037224975	-0.28196473040801934
step4	not to mention	VP Gap Conjunction	0.3733784545967287	0.041741259274211	0.0708452516266402	-0.02368866328257191	-0.2635771663797365
step4	not to mention	Avg_Test	0.4720812182741116	0.0293329010827354	0.0370210219783248	-0.0026320736980636195	-0.14916565687041958
step4	not to mention	Avg_Control	0.3883248730964467	0.0096087716624888	0.0336618609033058	-0.025380710659898387	-0.2727709483938776
step4	never mind	NPI	0.7163000564015792	-0.2174895416190916	-0.2589991295734369	0.03948110547095318	0.07965736214821556
step4	never mind	Pseudocleft	0.2289904117315284	-0.0190868748827835	0.119864592361235	0.0005640157924421962	-0.1317996241770406
step4	never mind	CP Conjunction	0.1331077270163564	0.1370059791689731	0.2501976031471764	-0.05414551607445009	-0.4290652426342849
step4	never mind	VP Conjunction	0.4467005076142132	-0.0220840048534481	-0.0035215298200285	-0.02199661590524532	-0.2543833843655948
step4	never mind	VP Gap Conjunction	0.6373378454596729	0.0954143574731335	0.0708452516266402	-0.03384094754653133	-0.31873985846458613
step4	never mind	Avg_Test	0.3594660650498213	-0.033190145777634	0.0370210219783248	-0.004700131603684987	-0.16040250155437044
step4	never mind	Avg_Control	0.5420191765369431	0.0366651763098427	0.0336618609033058	-0.027918781725888242	-0.28656162141509
step8	let alone	NPI	0.7580372250423012	-0.4730651697329862	-0.5414982487505865	0.086858432036097	0.33708325854417964
step8	let alone	Pseudocleft	0.161872532430908	-0.3614840935127787	-0.2039240010364272	-0.04906937394247041	-0.40148389659186023
step8	let alone	CP Conjunction	0.0028200789622109	0.6533136260220377	0.9321168290647625	-0.1511562323745065	-0.9561754114450688
step8	let alone	VP Conjunction	0.2673434856175973	0.1524904539406266	0.2129836025980321	-0.3034404963338973	-1.78361579271781
step8	let alone	VP Gap Conjunction	0.2143260011280315	0.2370248763358197	0.2933311209595277	-0.2865200225606318	-1.691677972576395
step8	let alone	Avg_Test	0.30757661214514	-0.0604118790745757	0.0622315264259161	-0.037789058093626704	-0.34019201649758346
step8	let alone	Avg_Control	0.2408347433728144	0.1947576651382231	0.2531573617787799	-0.2949802594472646	-1.7376468826471028
step8	much less	NPI	0.8099266779469825	-0.4372835594990532	-0.5414982487505865	0.10998307952622666	0.4627316127374475
step8	much less	Pseudocleft	0.1849971799210377	-0.329345046902402	-0.2039240010364272	0.029328821206993705	0.024494670063365646
step8	much less	CP Conjunction	0.0208685843203609	0.7453175978813882	0.9321168290647625	-0.4106034968979132	-2.365888653613444
step8	much less	VP Conjunction	0.562887760857304	0.2254676184140553	0.2129836025980321	-0.19458544839255498	-1.1921491498080357
step8	much less	VP Gap Conjunction	0.8065425831923294	0.3537407115026174	0.2933311209595277	-0.10265087422447816	-0.6926203270396761
step8	much less	Avg_Test	0.3385974807294604	-0.007103669506689	0.0622315264259161	-0.0904305320548976	-0.6262207902708767
step8	much less	Avg_Control	0.6847151720248167	0.2896041649583364	0.2531573617787799	-0.14861816130851657	-0.9423847384238558
step8	not to mention	NPI	0.9238578680203046	-0.4223550580278064	-0.5414982487505865	0.16074450084602365	0.7385450731616949
step8	not to mention	Pseudocleft	0.7450648618161309	-0.0869458753109247	-0.2039240010364272	0.2120699379582628	1.017423127590656
step8	not to mention	CP Conjunction	0.0067681895093062	0.6711096319853755	0.9321168290647625	-0.1133671742808799	-0.7508476131292402
