revision	construction	test_type	accuracy	delta_surps	delta_surps_and
step8	let alone	CP Conjunction	0.0028200789622109417	0.6533136260220377	0.9321168290647623
step8	let alone	VP Conjunction	0.2673434856175973	0.15249045394062666	0.21298360259803212
step8	let alone	VP Gap Conjunction	0.21432600112803157	0.2370248763358197	0.2933311209595277
step8	let alone	Avg_Test	0.30757661214514004	-0.06041187907457576	0.062231526425916193
step8	let alone	Avg_Control	0.24083474337281444	0.19475766513822318	0.2531573617787799
step8	much less	NPI	0.8099266779469825	-0.4372835594990532	-0.5414982487505865
step8	much less	Pseudocleft	0.18499717992103779	-0.32934504690240207	-0.20392400103642724
step8	much less	CP Conjunction	0.02086858432036097	0.7453175978813882	0.9321168290647623
step8	much less	VP Conjunction	0.562887760857304	0.22546761841405538	0.21298360259803212
step8	much less	VP Gap Conjunction	0.8065425831923294	0.35374071150261743	0.2933311209595277
step8	much less	Avg_Test	0.33859748072946044	-0.007103669506689059	0.062231526425916193
step8	much less	Avg_Control	0.6847151720248167	0.2896041649583364	0.2531573617787799
step8	not to mention	NPI	0.9238578680203046	-0.42235505802780643	-0.5414982487505865
step8	not to mention	Pseudocleft	0.7450648618161309	-0.08694587531092472	-0.20392400103642724
step8	not to mention	CP Conjunction	0.00676818950930626	0.6711096319853755	0.9321168290647623
step8	not to mention	VP Conjunction	0.17653694303440495	0.14243279428584252	0.21298360259803212
step8	not to mention	VP Gap Conjunction	0.2470389170896785	0.2252800511695272	0.2933311209595277
step8	not to mention	Avg_Test	0.5585636397819139	0.053936232882214795	0.062231526425916193
step8	not to mention	Avg_Control	0.21178793006204172	0.18385642272768485	0.2531573617787799
step8	never mind	NPI	0.9323181049069373	-0.43828500520692176	-0.5414982487505865
step8	never mind	Pseudocleft	0.27411167512690354	-0.31413831458008357	-0.20392400103642724
step8	never mind	CP Conjunction	0.0	0.6230142015692748	0.9321168290647623
step8	never mind	VP Conjunction	0.20191765369430345	0.13824657928587294	0.21298360259803212
step8	never mind	VP Gap Conjunction	0.2673434856175973	0.2511825195760023	0.2933311209595277
step8	never mind	Avg_Test	0.40214326001128026	-0.04313637273924354	0.062231526425916193
step8	never mind	Avg_Control	0.23463056965595036	0.1947145494309376	0.2531573617787799
step16	let alone	NPI	0.9977439368302312	-0.3958020810010535	-0.5306253400954296
step16	let alone	Pseudocleft	0.07839819514946418	-0.01009960142287293	0.10647958291834247
step16	let alone	CP Conjunction	0.0	0.5552112990291659	0.8622626005023197
step16	let alone	VP Conjunction	0.046813310772701636	0.1923052448373829	0.2981042964137078
step16	let alone	VP Gap Conjunction	0.009024252679075015	0.22331729529607258	0.30776179099042605
step16	let alone	Avg_Test	0.35871404399323176	0.0497698722017464	0.1460389477750775
step16	let alone	Avg_Control	0.027918781725888325	0.2078112700667277	0.3029330437020669
step16	much less	NPI	0.9774393683023125	-0.4031578936418166	-0.5306253400954296
step16	much less	Pseudocleft	0.05358150028200789	-0.0625882016960268	0.10647958291834247
step16	much less	CP Conjunction	0.0	0.5388424551157514	0.8622626005023197
step16	much less	VP Conjunction	0.1020868584320361	0.22545761317098748	0.2981042964137078
step16	much less	VP Gap Conjunction	0.14213197969543148	0.2618349933785635	0.30776179099042605
step16	much less	Avg_Test	0.3436736228614401	0.024365453259302675	0.1460389477750775
step16	much less	Avg_Control	0.12210941906373379	0.2436463032747755	0.3029330437020669
step16	not to mention	NPI	0.9971799210377891	-0.41329360236841883	-0.5306253400954296
step16	not to mention	Pseudocleft	0.6142131979695431	0.13498845990606428	0.10647958291834247
step16	not to mention	CP Conjunction	0.005076142131979695	0.6958592264785379	0.8622626005023197
step16	not to mention	VP Conjunction	0.155668358714044	0.2476450553803677	0.2981042964137078
step16	not to mention	VP Gap Conjunction	0.1889452904681331	0.2540098594798923	0.30776179099042605
step16	not to mention	Avg_Test	0.5388230870464372	0.13918469467206107	0.1460389477750775
step16	not to mention	Avg_Control	0.17230682459108854	0.25082745743013	0.3029330437020669
step16	never mind	NPI	1.0	-0.3854634816943759	-0.5306253400954296
step16	never mind	Pseudocleft	0.12859560067681894	-0.000857046614645306	0.10647958291834247
step16	never mind	CP Conjunction	0.0	0.4571605172455815	0.8622626005023197
step16	never mind	VP Conjunction	0.0045121263395375075	0.17137125018486113	0.2981042964137078
step16	never mind	VP Gap Conjunction	0.008460236886632826	0.19410140139197335	0.30776179099042605
step16	never mind	Avg_Test	0.3761985335589397	0.023613329645520112	0.1460389477750775
step16	never mind	Avg_Control	0.0064861816130851666	0.18273632578841725	0.3029330437020669
step32	let alone	NPI	0.9960518894529047	-0.27174252140542177	-0.3487028572697863
step32	let alone	Pseudocleft	0.019740552735476594	-0.4439080298047784	-0.38124412476377706
step32	let alone	CP Conjunction	0.0	0.09028523962039162	0.3101542621296271
