revision	construction	test_type	accuracy	delta_surps	delta_surps_and
step11992	never mind	VP Gap Conjunction	1.0	0.712521068940913	0.3675224023959896
step11992	never mind	Avg_Test	0.9686031208873849	0.07959969179548251	-0.31146325014390136
step11992	never mind	Avg_Control	0.9664410603496898	0.339883652838757	0.086896034196078
step14991	let alone	NPI	1.0	0.30583787152677083	-0.10584154830971348
step14991	let alone	Pseudocleft	0.9858996051889453	0.4954801483875066	0.1897677010354926
step14991	let alone	CP Conjunction	1.0	-0.2401697823911216	-1.097477133638497
step14991	let alone	VP Conjunction	0.9954878736604625	0.01098828495927135	-0.19675692635206468
step14991	let alone	VP Gap Conjunction	0.990975747320925	0.5446177470233571	0.2952342967965545
step14991	let alone	Avg_Test	0.995299868396315	0.18704941250771862	-0.337850326970906
step14991	let alone	Avg_Control	0.9932318104906938	0.27780301599131424	0.04923868522224491
step14991	much less	NPI	1.0	0.33568948564459494	-0.10584154830971348
step14991	much less	Pseudocleft	0.9994359842075579	0.746703646106365	0.1897677010354926
step14991	much less	CP Conjunction	1.0	-0.24903344328095534	-1.097477133638497
step14991	much less	VP Conjunction	0.9887196841511562	0.019050096295610112	-0.19675692635206468
step14991	much less	VP Gap Conjunction	0.9898477157360406	0.5162377841581548	0.2952342967965545
step14991	much less	Avg_Test	0.9998119947358526	0.27778656282333486	-0.337850326970906
step14991	much less	Avg_Control	0.9892836999435983	0.2676439402268824	0.04923868522224491
step14991	not to mention	NPI	0.9774393683023125	0.059527612983071056	-0.10584154830971348
step14991	not to mention	Pseudocleft	0.9531866892272983	0.39704865691222113	0.1897677010354926
step14991	not to mention	CP Conjunction	1.0	-0.5080720403405549	-1.097477133638497
step14991	not to mention	VP Conjunction	0.975747320924986	-0.02446202766538944	-0.19675692635206468
step14991	not to mention	VP Gap Conjunction	1.0	0.6689379035048207	0.2952342967965545
step14991	not to mention	Avg_Test	0.9768753525098702	-0.01716525681508755	-0.337850326970906
step14991	not to mention	Avg_Control	0.9878736604624929	0.32223793791971567	0.04923868522224491
step14991	never mind	NPI	1.0	0.10947204348870206	-0.10584154830971348
step14991	never mind	Pseudocleft	0.961082910321489	0.4461756738242092	0.1897677010354926
step14991	never mind	CP Conjunction	1.0	-0.2826732684176854	-1.097477133638497
step14991	never mind	VP Conjunction	0.9921037789058094	0.01562122483745646	-0.19675692635206468
step14991	never mind	VP Gap Conjunction	1.0	0.5973086600510736	0.2952342967965545
step14991	never mind	Avg_Test	0.9870276367738297	0.09099148296507527	-0.337850326970906
step14991	never mind	Avg_Control	0.9960518894529047	0.30646494244426503	0.04923868522224491
step17988	let alone	NPI	1.0	0.28004173726868775	-0.07930282059189162
step17988	let alone	Pseudocleft	0.9785673998871969	0.506598192624836	0.2772617571379462
step17988	let alone	CP Conjunction	1.0	-0.3432831316429951	-1.1279813893689856
step17988	let alone	VP Conjunction	0.9808234630569655	-0.017729684046547883	-0.2222202267945317
step17988	let alone	VP Gap Conjunction	0.9994359842075579	0.604832359982021	0.24031799376111748
step17988	let alone	Avg_Test	0.992855799962399	0.14778559941684288	-0.31000748427431035
step17988	let alone	Avg_Control	0.9901297236322617	0.2935513379677365	0.00904888348329289
step17988	much less	NPI	1.0	0.3122988969541443	-0.07930282059189162
step17988	much less	Pseudocleft	0.9932318104906938	0.5315097758007533	0.2772617571379462
step17988	much less	CP Conjunction	1.0	-0.34933357055887826	-1.1279813893689856
step17988	much less	VP Conjunction	0.9892836999435984	0.002907075790517149	-0.2222202267945317
step17988	much less	VP Gap Conjunction	0.9966159052453468	0.5569909646291888	0.24031799376111748
step17988	much less	Avg_Test	0.9977439368302313	0.16482503406533983	-0.31000748427431035
step17988	much less	Avg_Control	0.9929498025944726	0.279949020209853	0.00904888348329289
step17988	not to mention	NPI	0.9836435420191766	0.08735105820584284	-0.07930282059189162
step17988	not to mention	Pseudocleft	0.9210377890580936	0.42350388770041597	0.2772617571379462
step17988	not to mention	CP Conjunction	1.0	-0.5648188550661865	-1.1279813893689856
step17988	not to mention	VP Conjunction	0.9774393683023125	-0.05742887434015419	-0.2222202267945317
step17988	not to mention	VP Gap Conjunction	1.0	0.6893527429788313	0.24031799376111748
step17988	not to mention	Avg_Test	0.96822711035909	-0.01798796971997589	-0.31000748427431035
step17988	not to mention	Avg_Control	0.9887196841511563	0.31596193431933856	0.00904888348329289
step17988	never mind	NPI	0.9988719684151156	0.15861337842473322	-0.07930282059189162
step17988	never mind	Pseudocleft	0.9058093626621545	0.45156502427855794	0.2772617571379462
step17988	never mind	CP Conjunction	1.0	-0.41160164495275575	-1.1279813893689856
step17988	never mind	VP Conjunction	0.9503666102650874	-0.05196518650582061	-0.2222202267945317
step17988	never mind	VP Gap Conjunction	1.0	0.6107814072621319	0.24031799376111748
step17988	never mind	Avg_Test	0.96822711035909	0.06619225258351179	-0.31000748427431035
step17988	never mind	Avg_Control	0.9751833051325437	0.27940811037815566	0.00904888348329289
